# Command: adb -s [REDACTED_IP]:3268 shell getprop
# Collected UTC: 2026-07-15T09:52:21Z
# Timeout: 90s

[ro.product.bootimage.device]: [rk3326_sgo]
[ro.product.bootimage.manufacturer]: [Google]
[ro.product.bootimage.model]: [rk3326_sgo]
[ro.product.bootimage.name]: [rk3326_sgo]
[ro.product.brand]: [Google]
[ro.product.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.product.build.date.utc]: [1764829536]
[ro.product.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.product.build.id]: [SQ3A.220705.003.A1]
[ro.product.build.tags]: [release-keys]
[ro.product.build.type]: [userdebug]
[ro.product.build.version.incremental]: [eng.20251204.142604]
[ro.product.build.version.release]: [12]
[ro.product.build.version.release_or_codename]: [12]
[ro.product.build.version.sdk]: [32]
[ro.product.cpu.abi]: [armeabi-v7a]
[ro.product.cpu.abi2]: [armeabi]
[ro.product.cpu.abilist]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: []
[ro.product.debugfs_restrictions.enabled]: [true]
[ro.product.device]: [rk3326_sgo]
[ro.product.first_api_level]: [31]
[ro.product.manufacturer]: [Google]
[ro.product.model]: [rk3326_sgo]
[ro.product.name]: [rk3326_sgo]
[ro.product.odm.brand]: [Google]
[ro.product.odm.device]: [rk3326_sgo]
[ro.product.odm.manufacturer]: [Google]
[ro.product.odm.model]: [rk3326_sgo]
[ro.product.odm.name]: [rk3326_sgo]
[ro.product.odm_dlkm.brand]: [Google]
[ro.product.odm_dlkm.device]: [rk3326_sgo]
[ro.product.odm_dlkm.manufacturer]: [Google]
[ro.product.odm_dlkm.model]: [rk3326_sgo]
[ro.product.odm_dlkm.name]: [rk3326_sgo]
[ro.product.ota.host]: [[REDACTED_IP]:8888]
[ro.product.payload.name]: [newboard]
[ro.product.product.brand]: [Google]
[ro.product.product.device]: [rk3326_sgo]
[ro.product.product.manufacturer]: [Google]
[ro.product.product.model]: [rk3326_sgo]
[ro.product.product.name]: [rk3326_sgo]
[ro.product.system.brand]: [Google]
[ro.product.system.device]: [rk3326_sgo]
[ro.product.system.manufacturer]: [Google]
[ro.product.system.model]: [rk3326_sgo]
[ro.product.system.name]: [rk3326_sgo]
[ro.product.system_ext.brand]: [Google]
[ro.product.system_ext.device]: [rk3326_sgo]
[ro.product.system_ext.manufacturer]: [Google]
[ro.product.system_ext.model]: [rk3326_sgo]
[ro.product.system_ext.name]: [rk3326_sgo]
[ro.product.usbfactory]: [rockchip_usb]
[ro.product.vendor.brand]: [Google]
[ro.product.vendor.device]: [rk3326_sgo]
[ro.product.vendor.manufacturer]: [Google]
[ro.product.vendor.model]: [rk3326_sgo]
[ro.product.vendor.name]: [rk3326_sgo]
[ro.product.vendor_dlkm.brand]: [Google]
[ro.product.vendor_dlkm.device]: [rk3326_sgo]
[ro.product.vendor_dlkm.manufacturer]: [Google]
[ro.product.vendor_dlkm.model]: [rk3326_sgo]
[ro.product.vendor_dlkm.name]: [rk3326_sgo]
[ro.product.version]: [1.0.0]
[ro.product.vndk.version]: [32]
[ro.property_service.version]: [2]
[ro.radio.noril]: [true]
[ro.revision]: [0]
[ro.ril.ecclist]: [112,911]
[ro.rk.LowBatteryBrightness]: [false]
[ro.rk.MassStorage]: [false]
[ro.rk.bt_enable]: [true]
[ro.rk.def_brightness]: [200]
[ro.rk.flash_enable]: [true]
[ro.rk.hdmi_enable]: [true]
[ro.rk.homepage_base]: []
[ro.rk.install_non_market_apps]: [false]
[ro.rk.screenoff_time]: [60000]
[ro.rk.screenshot_enable]: [true]
[ro.rk.systembar.tabletUI]: [false]
[ro.rk.systembar.voiceicon]: [true]
[ro.rksdk.version]: [ANDROID12_RKR12]
[ro.rockchip.set]: [true]
[ro.runtime.firstboot]: [1784108348468]
[ro.safemode.disabled]: [true]
[ro.secure]: [1]
[ro.serialno=[REDACTED_ID]]
[ro.sf.fakerotation]: [false]
[ro.sf.lcd_density]: [240]
[ro.soc.manufacturer]: [Rockchip]
[ro.soc.model]: [RK3326]
[ro.statsd.enable]: [true]
[ro.sys.host_unhide_charge_notify]: [true]
[ro.system.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.system.build.date.utc]: [1764829536]
[ro.system.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.system.build.id]: [SQ3A.220705.003.A1]
[ro.system.build.tags]: [release-keys]
[ro.system.build.type]: [userdebug]
[ro.system.build.version.incremental]: [eng.20251204.142604]
[ro.system.build.version.release]: [12]
[ro.system.build.version.release_or_codename]: [12]
[ro.system.build.version.sdk]: [32]
[ro.system.product.cpu.abilist]: [armeabi-v7a,armeabi]
[ro.system.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.system.product.cpu.abilist64]: []
[ro.system_ext.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.system_ext.build.date.utc]: [1764829536]
[ro.system_ext.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.system_ext.build.id]: [SQ3A.220705.003.A1]
[ro.system_ext.build.tags]: [release-keys]
[ro.system_ext.build.type]: [userdebug]
[ro.system_ext.build.version.incremental]: [eng.20251204.142604]
[ro.system_ext.build.version.release]: [12]
[ro.system_ext.build.version.release_or_codename]: [12]
[ro.system_ext.build.version.sdk]: [32]
[ro.target.product]: [tablet]
[ro.tether.denied]: [false]
[ro.treble.enabled]: [true]
[ro.txcz.model]: [rk3326-V12_PaoTong-Game-daemon12138]
[ro.vendor.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.vendor.build.date.utc]: [1764829536]
[ro.vendor.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.vendor.build.id]: [SQ3A.220705.003.A1]
[ro.vendor.build.security_patch]: [2022-07-05]
[ro.vendor.build.tags]: [release-keys]
[ro.vendor.build.type]: [userdebug]
[ro.vendor.build.version.incremental]: [eng.20251204.142604]
[ro.vendor.build.version.release]: [12]
[ro.vendor.build.version.release_or_codename]: [12]
[ro.vendor.build.version.sdk]: [32]
[ro.vendor.mpp_buf_type]: [1]
[ro.vendor.product.cpu.abilist]: [armeabi-v7a,armeabi]
[ro.vendor.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.vendor.product.cpu.abilist64]: []
[ro.vendor.rk_sdk]: [1]
[ro.vendor.sdkversion]: [RK3326_ANDROID10.0_MID_V1.0]
[ro.vendor.udisk.visible]: [true]
[ro.vendor_dlkm.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.vendor_dlkm.build.date.utc]: [1764829536]
[ro.vendor_dlkm.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.vendor_dlkm.build.id]: [SQ3A.220705.003.A1]
[ro.vendor_dlkm.build.tags]: [release-keys]
[ro.vendor_dlkm.build.type]: [userdebug]
[ro.vendor_dlkm.build.version.incremental]: [eng.20251204.142604]
[ro.vendor_dlkm.build.version.release]: [12]
[ro.vendor_dlkm.build.version.release_or_codename]: [12]
[ro.vendor_dlkm.build.version.sdk]: [32]
[ro.vndk.version]: [32]
[ro.wifi.channels]: []
[ro.zram.mark_idle_delay_mins]: [60]
[ro.zygote]: [zygote32]
[security.perf_harden]: [1]
[selinux.restorecon_recursive]: [/data/misc_ce/0]
[service.adb.tcp.port]: [3268]
[service.bootanim.exit]: [1]
[service.bootanim.progress]: [0]
[service.sf.present_timestamp]: [0]
[service.sf.prime_shader_cache]: [0]
[sf.power.control]: [2073600]
[sys.ID.mID]: [3]
[sys.boot.reason]: [reboot,fastboot]
[sys.boot.reason.last]: [reboot,fastboot]
[sys.boot_completed]: [1]
[sys.bootstat.first_boot_completed]: [1]
[sys.bootvideo.closed]: [1]
[sys.fuse.transcode_enabled]: [true]
[sys.gmali.version]: [g7p1-01bet0-x-7@0]
[sys.hwc.compose_policy]: [0]
[sys.hwc.enable]: [0]
[sys.init.perf_lsm_hooks]: [1]
[sys.lmk.minfree_levels]: [3072:0,3840:100,4608:200,5376:250,6144:900,7680:950]
[sys.lmk.reportkills]: [1]
[sys.rescue_boot_count]: [1]
[sys.resolution.changed]: [false]
[sys.retaildemo.enabled]: [0]
[sys.rkadb.root]: [0]
[sys.status.hidebar_enable]: [false]
[sys.sysctl.extra_free_kbytes]: [10]
[sys.system_server.start_count]: [1]
[sys.system_server.start_elapsed]: [29485]
[sys.system_server.start_uptime]: [29485]
[sys.usb.config]: [adb]
[sys.usb.configfs]: [1]
[sys.usb.controller]: [ff300000.usb]
[sys.usb.ffs.ready]: [1]
[sys.usb.mtp.device_type]: [3]
[sys.usb.state]: [adb]
[sys.use_memfd]: [false]
[sys.user.0.ce_available]: [true]
[sys.wallpaper.rgb565]: [0]
[sys.wifitracing.started]: [1]
[testing.mediascanner.skiplist]: [/mnt/shell/emulated/Android/]
[tombstoned.max_tombstone_count]: [50]
[vendor.all.modules.ready]: [1]
[vendor.boot_completed]: [1]
[vendor.cam.hal3.ver]: [v3.0.2]
[vendor.cam.librkisp.aec.ver]: [v0.0.e]
[vendor.cam.librkisp.af.ver]: [v0.2.17]
[vendor.cam.librkisp.awb.ver]: [v0.0.f]
[vendor.cam.librkisp.ver]: [v2.3.0]
[vendor.ghwc.commit]: [commit-id:56f126f]
[vendor.ghwc.version]: [0.67-rk3326]
[vendor.gralloc.disable_afbc]: [1]
[vendor.gralloc.fb_size]: [921600]
[vendor.gralloc.no_afbc_for_fb_target_layer]: [1]
[vendor.hwc.compose_policy]: [0]
[vendor.hwc.device.aux]: []
[vendor.hwc.device.main]: [LVDS]
[vendor.rga_api.version]: [1.8.1_[4]]
[vendor.rkpq.scene.timeline]: [2]
[vendor.security.tee_supplicant]: [1]
[vendor.usb.controller]: [ff300000.usb]
[vendor.wifi.direct.interface]: [p2p-dev-wlan0]
[vendor.wlan.driver.version]: [2.0.250110.6d9cf42]
[vendor.wlan.firmware.version]: [rev34255-rev34261]
[vold.has_adoptable]: [0]
[vold.has_compress]: [0]
[vold.has_quota]: [1]
[vold.has_reserved]: [1]
[wifi.active.interface]: [wlan0]
[wifi.direct.interface]: [p2p-dev-wlan0]
[wifi.interface]: [wlan0]
[wifi.supplicant_scan_interval]: [15]
[wlan.driver.status]: [ok]
